corner,slew_ps,cload_fF,tpHL_ps,tpLH_ps,tfall_ps,trise_ps,e_hl_fJ,e_lh_fJ,p_leak_lo_pW,p_leak_hi_pW
ss,500.00000000000006,5.0,166.8814,167.0815,144.1694,162.8546,-1.4414799999999999,24.074099999999998,3.245108,4.2398169999999995
ss,500.00000000000006,1.0,112.39460000000001,110.9691,95.29186999999999,114.1892,-1.62425,11.0556,3.245123,4.2397789999999995
ss,500.00000000000006,10.0,212.7305,212.6173,190.0764,209.2924,-1.25977,40.347699999999996,3.24511,4.2398169999999995
ss,500.00000000000006,25.0,312.62120000000004,309.2071,343.8295,371.0495,-0.9290220000000001,89.0946,3.244851,4.239794000000001
ff,20.0,1.0,18.10465,14.377989999999999,18.44509,18.83989,-0.7382409999999999,10.556099999999999,4.840982,6302.196000000001
ss,500.00000000000006,50.0,472.4092,463.2218,625.5313,669.1752,-0.690094,168.077,3.164171,4.453991
ff,20.0,5.0,34.51896,26.72387,47.2299,44.69809,-0.437887,23.756300000000003,4.840984,6302.196000000001
ff,20.0,10.0,54.433879999999995,41.8463,83.20441,77.81809,-0.316674,40.0554,4.840958,6302.196000000001
ff,20.0,25.0,113.5466,86.85791,191.14180000000002,177.1825,-0.216663,88.7399,4.841007,6302.196000000001
ff,20.0,50.0,211.7524,161.6929,371.0447,342.7901,-0.177833,169.774,4.839295,6302.196000000001
ff,50.0,1.0,23.2614,20.30727,22.46724,24.68776,-1.01755,10.477,4.840982,6302.196000000001
ff,50.0,5.0,39.70026,33.19151,48.565599999999996,47.58093,-0.688763,23.6066,4.840984,6302.196000000001
ff,50.0,10.0,59.710739999999994,48.29132,83.40785,78.86865999999999,-0.507575,39.927099999999996,4.840958,6302.196000000001
ff,50.0,25.0,118.9921,93.34987,191.14159999999998,177.1829,-0.31771200000000005,88.6644,4.841007,6302.196000000001
ff,50.0,50.0,217.2905,168.2244,371.0442,342.79089999999997,-0.23437400000000003,169.731,4.839295,6302.196000000001
ff,100.0,5.0,49.07757,43.86762,55.88736,56.905539999999995,-0.846187,23.6263,4.840984,6302.196000000001
ff,100.0,1.0,28.842200000000002,26.28767,32.26277,36.01226,-1.03142,10.674199999999999,4.840982,6302.196000000001
ff,100.0,25.0,128.22920000000002,104.3138,191.7018,179.0918,-0.436423,88.6083,4.841007,6302.196000000001
ff,100.0,10.0,68.94816,59.382329999999996,88.11042,85.58073,-0.673194,39.8855,4.840958,6302.196000000001
ff,100.0,50.0,226.5897,179.1745,371.0443,342.7908,-0.30777699999999997,169.69,4.839295,6302.196000000001
ff,200.0,5.0,62.64469,58.33274,76.03209,79.31586,-0.754035,24.0407,4.840984,6302.196000000001
ff,200.0,10.0,87.64384,79.82813,104.75200000000001,105.27220000000001,-0.705349,40.129,4.840958,6302.196000000001
ff,200.0,1.0,35.00986,33.547200000000004,47.37516,51.87677,-0.641964,11.365,4.840982,6302.196000000001
ff,500.00000000000006,5.0,83.70599,82.73863,124.8075,130.1284,0.6231099999999999,26.1383,4.840984,6302.196000000001
ff,500.00000000000006,1.0,44.034580000000005,45.890719999999995,84.06803000000001,89.37870000000001,1.66814,14.0735,4.840982,6302.196000000001
ff,200.0,50.0,245.43189999999998,201.30089999999998,373.0368,347.50919999999996,-0.385722,169.708,4.839295,6302.196000000001
ff,200.0,25.0,147.2011,126.65910000000001,200.907,191.57670000000002,-0.5309250000000001,88.6814,4.841007,6302.196000000001
ff,500.00000000000006,25.0,202.7691,187.29000000000002,252.06070000000003,250.36460000000002,-0.15765600000000002,89.6974,4.841007,6302.196000000001
ff,500.00000000000006,50.0,303.5537,268.9913,407.59369999999996,390.6907,-0.237516,170.29299999999998,4.839295,6302.196000000001
ff,500.00000000000006,10.0,120.9702,116.3908,163.3528,167.3376,0.189551,41.7973,4.840958,6302.196000000001
